imd,lsoa,imd_quintile
1,E01003732,Most deprived
1,E01004275,3
1,E01003564,2
1,E01001764,2
1,E01003572,2
1,E01004219,Most deprived
1,E01001750,Most deprived
1,E01004452,2
1,E01000083,Most deprived
1,E01000094,2
1,E01004342,2
1,E01001850,Most deprived
1,E01004455,Most deprived
1,E01003540,Most deprived
1,E01003592,2
1,E01004340,Most deprived
1,E01003740,2
1,E01003567,2
1,E01033577,3
1,E01004198,Most deprived
1,E01004313,2
1,E01004247,Most deprived
1,E01003513,2
1,E01004394,Most deprived
1,E01001789,2
1,E01003544,2
1,E01004441,3
1,E01003575,2
1,E01004315,Most deprived
1,E01003579,2
1,E01032777,2
1,E01003629,2
1,E01004453,2
1,E01004409,Most deprived
1,E01004393,2
1,E01004319,Most deprived
1,E01032787,Most deprived
1,E01000076,Most deprived
1,E01004462,2
1,E01004255,Most deprived
1,E01000090,2
1,E01004354,3
1,E01001762,2
1,E01003616,2
1,E01003771,2
1,E01001833,Most deprived
1,E01004445,2
1,E01004349,Most deprived
1,E01004358,2
1,E01016112,Least deprived
1,E01004339,2
1,E01003624,Most deprived
1,E01004440,2
1,E01003581,2
1,E01033582,3
1,E01004288,Most deprived
1,E01000054,2
1,E01004300,Most deprived
1,E01033713,Most deprived
1,E01004379,3
1,E01001734,Most deprived
1,E01004236,Most deprived
1,E01003514,Most deprived
1,E01001723,2
1,E01004370,3
1,E01001830,Most deprived
1,E01004369,2
1,E01003602,2
1,E01003583,2
1,E01004328,2
1,E01001824,Most deprived
1,E01001799,2
1,E01004376,2
1,E01004206,Most deprived
1,E01003531,2
1,E01001779,2
1,E01003617,2
1,E01003795,4
1,E01003753,3
1,E01001807,2
1,E01004338,2
1,E01004465,2
1,E01032779,3
1,E01032785,2
1,E01001722,Most deprived
1,E01001747,2
1,E01001809,2
1,E01033704,2
1,E01004396,2
1,E01001774,2
1,E01004317,2
1,E01004384,Most deprived
1,E01004343,3
1,E01004243,Most deprived
1,E01002707,2
1,E01003590,Most deprived
1,E01004392,Most deprived
1,E01004407,Most deprived
1,E01003580,Most deprived
1,E01004335,Most deprived
1,E01004439,2
1,E01003534,2
1,E01004460,Most deprived
1,E01004268,Most deprived
1,E01003549,2
1,E01001795,Most deprived
1,E01004381,3
1,E01004352,4
1,E01001844,2
1,E01004359,3
1,E01033578,Most deprived
1,E01033698,Most deprived
1,E01033699,2
1,E01004248,Most deprived
1,E01033575,3
1,E01004266,2
1,E01004428,Most deprived
1,E01004073,4
1,E01004415,2
1,E01003500,Most deprived
1,E01032783,3
1,E01004347,3
1,E01001749,2
1,E01004386,4
1,E01004459,Most deprived
1,E01004237,Most deprived
1,E01004443,2
1,E01001794,2
1,E01004368,2
1,E01003515,Most deprived
1,E01003634,Most deprived
1,E01001775,Most deprived
1,E01004202,2
1,E01004403,Most deprived
1,E01004283,Most deprived
1,E01003628,2
1,E01003632,2
1,E01032581,2
1,E01003712,Most deprived
1,E01001455,4
1,E01004259,2
1,E01000114,2
1,E01003782,2
1,E01001839,Most deprived
1,E01000092,2
1,E01004374,3
1,E01001765,Most deprived
1,E01004321,Most deprived
1,E01003730,2
1,E01004199,Most deprived
1,E01003597,2
1,E01004303,2
1,E01004375,2
1,E01032775,4
1,E01000003,3
1,E01004336,2
1,E01004201,Most deprived
1,E01003598,Most deprived
1,E01004345,2
1,E01004414,2
1,E01003618,2
1,E01001755,Most deprived
1,E01001814,2
1,E01001831,2
1,E01004424,Most deprived
1,E01033703,Most deprived
1,E01003577,Most deprived
1,E01000053,Most deprived
1,E01002777,2
1,E01002249,3
1,E01001826,Most deprived
1,E01003627,2
1,E01001801,2
1,E01002353,3
1,E01001725,2
1,E01003545,Most deprived
1,E01021806,2
1,E01000011,2
1,E01002329,4
1,E01003726,Most deprived
1,E01033589,2
1,E01029999,Least deprived
1,E01004387,Least deprived
1,E01004411,2
1,E01002070,2
1,E01004437,2
1,E01002311,2
1,E01002306,2
1,E01001829,3
1,E01033711,3
1,E01003619,Most deprived
1,E01001768,2
1,E01001782,3
1,E01003502,Most deprived
1,E01002377,4
1,E01000106,Most deprived
1,E01001787,Most deprived
1,E01033591,Most deprived
1,E01011516,Least deprived
1,E01002264,2
1,E01033587,Most deprived
1,E01000052,2
1,E01003760,3
1,E01033700,Most deprived
1,E01001849,Most deprived
1,E01001717,2
1,E01003666,2
1,E01004391,2
1,E01000036,3
1,E01002319,3
1,E01001748,Most deprived
1,E01002050,2
1,E01004309,Most deprived
1,E01001802,Most deprived
1,E01004226,Most deprived
1,E01001517,Most deprived
1,E01004395,2
1,E01003516,Most deprived
1,E01003631,2
1,E01004402,Most deprived
1,E01032782,2
1,E01004363,3
1,E01004258,2
1,E01001715,2
1,E01004429,2
1,E01003552,2
1,E01003576,Most deprived
1,E01003555,2
1,E01004398,Most deprived
1,E01003682,4
1,E01002336,3
1,E01003594,Most deprived
1,E01002712,Most deprived
1,E01003784,2
1,E01003522,2
1,E01001776,Most deprived
1,E01020452,3
1,E01003511,Most deprived
1,E01033586,Most deprived
1,E01000087,Most deprived
1,E01000028,Most deprived
1,E01033712,Most deprived
1,E01002250,2
1,E01033705,Most deprived
1,E01018007,Least deprived
1,E01003646,3
1,E01032778,2
1,E01004294,2
1,E01002316,Most deprived
1,E01001736,2
1,E01004307,3
1,E01001754,Most deprived
1,E01004253,Most deprived
1,E01004291,4
1,E01003654,2
1,E01004207,Most deprived
1,E01003742,3
1,E01001756,2
1,E01003772,3
1,E01003533,2
1,E01024184,4
1,E01004389,Most deprived
1,E01025315,3
1,E01002309,2
1,E01033707,Most deprived
1,E01003496,2
1,E01032769,2
1,E01001780,Most deprived
1,E01004208,2
1,E01003653,3
1,E01032781,4
1,E01004426,2
1,E01002045,Most deprived
1,E01003735,Most deprived
1,E01000073,Most deprived
1,E01004450,3
1,E01011426,Most deprived
1,E01033706,2
1,E01003763,4
1,E01002059,2
1,E01000099,2
1,E01000096,Most deprived
1,E01004322,Most deprived
1,E01001816,2
1,E01000953,Most deprived
1,E01003685,2
1,E01021818,2
1,E01001803,3
1,E01001740,Most deprived
1,E01004360,3
1,E01003236,Most deprived
1,E01021648,2
1,E01003746,Least deprived
1,E01004293,4
1,E01003684,2
1,E01024404,Least deprived
1,E01021764,2
1,E01002378,4
1,E01002356,Most deprived
1,E01000022,2
1,E01021766,4
1,E01024279,2
1,E01010363,Most deprived
1,E01021763,4
1,E01032767,3
1,E01001735,Most deprived
1,E01003674,4
1,E01003727,2
1,E01001808,2
1,E01003783,Most deprived
1,E01003713,3
1,E01004633,2
1,E01001390,4
1,E01004372,3
1,E01003788,2
1,E01004292,4
1,E01001741,3
1,E01004274,2
1,E01003791,3
1,E01001574,Most deprived
1,E01000016,Most deprived
1,E01002056,Most deprived
1,E01002078,Most deprived
1,E01003645,2
1,E01000037,3
1,E01002374,3
1,E01003914,2
1,E01000012,Most deprived
1,E01002369,2
1,E01001812,Most deprived
1,E01001751,3
1,E01006676,Most deprived
1,E01003659,4
1,E01033511,4
1,E01003688,2
1,E01003690,2
1,E01003662,2
1,E01003743,2
1,E01003639,2
1,E01003648,Least deprived
1,E01000005,2
1,E01002287,4
1,E01000017,Most deprived
1,E01003786,3
1,E01001727,2
1,E01001823,2
1,E01002051,Most deprived
1,E01004361,3
1,E01003752,3
1,E01003661,2
1,E01033150,2
1,E01000010,2
1,E01003657,3
1,E01015220,3
1,E01006758,Most deprived
1,E01001726,Most deprived
1,E01001560,Most deprived
1,E01002778,Most deprived
1,E01003649,4
1,E01021541,3
1,E01003034,2
1,E01023468,Least deprived
1,E01000030,Most deprived
1,E01026464,3
1,E01000089,2
1,E01002301,4
1,E01003714,2
1,E01003669,4
1,E01003741,3
1,E01002789,3
1,E01003652,4
1,E01002126,3
1,E01013943,Most deprived
1,E01003701,3
1,E01003738,3
1,E01000100,Most deprived
1,E01003683,2
1,E01001752,2
1,E01033592,3
1,E01032771,3
1,E01021856,4
1,E01001476,2
1,E01004277,Least deprived
1,E01000009,2
1,E01003656,2
1,E01033288,3
1,E01000025,Most deprived
1,E01002372,4
1,E01003770,2
1,E01000095,Most deprived
1,E01002350,2
1,E01003768,Most deprived
1,E01003756,3
1,E01008491,Most deprived
1,E01000024,2
1,E01003785,2
1,E01003650,3
1,E01003793,2
1,E01016668,Least deprived
1,E01003790,3
1,E01003709,4
1,E01003642,3
1,E01003681,3
1,E01003775,Least deprived
1,E01015671,3
1,E01000085,Most deprived
1,E01002281,Most deprived
1,E01003644,3
1,E01033579,2
1,E01003693,3
1,E01003776,2
1,E01000109,2
1,E01002076,Most deprived
1,E01003792,3
1,E01003758,2
1,E01003779,3
1,E01002366,4
1,E01003722,2
1,E01003706,3
1,E01003765,4
1,E01002069,Most deprived
1,E01001718,3
1,E01003719,2
1,E01032580,Most deprived
1,E01022025,Most deprived
1,E01032768,3
1,E01003670,4
1,E01002741,Most deprived
1,E01016020,2
1,E01000006,2
1,E01007944,Most deprived
1,E01014507,4
1,E01003698,3
1,E01033148,Most deprived
1,E01002323,4
1,E01003749,Least deprived
1,E01001977,Most deprived
1,E01013913,3
1,E01003777,4
1,E01001504,2
1,E01002286,Least deprived
1,E01000023,Most deprived
1,E01003658,2
1,E01033611,4
1,E01002288,Least deprived
1,E01003787,3
1,E01003664,3
1,E01002058,2
1,E01015966,4
1,E01000041,Most deprived
1,E01033598,Most deprived
1,E01000018,Most deprived
1,E01025144,3
1,E01002391,Least deprived
1,E01026948,4
1,E01003718,2
1,E01002728,2
1,E01002053,Most deprived
1,E01003675,4
1,E01022576,3
1,E01000079,Most deprived
1,E01024185,4
1,E01003781,2
1,E01032229,3
1,E01000058,2
1,E01002365,3
1,E01000055,2
1,E01003708,2
1,E01003691,3
1,E01000042,Most deprived
1,E01003767,2
1,E01026256,2
1,E01000031,2
1,E01004040,Most deprived
1,E01002751,Most deprived
1,E01003668,4
1,E01023502,Least deprived
1,E01002243,2
1,E01002074,Most deprived
1,E01002345,Most deprived
1,E01000104,Most deprived
1,E01000049,Most deprived
1,E01000002,Least deprived
1,E01000068,2
1,E01002368,Most deprived
1,E01016004,Most deprived
1,E01003736,2
1,E01015841,Most deprived
1,E01000075,Most deprived
1,E01003731,Most deprived
1,E01000111,2
1,E01030672,Least deprived
1,E01031454,Most deprived
1,E01000077,Most deprived
1,E01021293,2
1,E01003686,2
1,E01033693,Most deprived
1,E01021743,3
1,E01015923,2
1,E01021340,4
1,E01001186,2
1,E01000072,Most deprived
1,E01011478,2
1,E01012578,Most deprived
1,E01001406,2
1,E01002737,Most deprived
1,E01021315,Most deprived
1,E01021748,Least deprived
1,E01012447,Least deprived
1,E01000019,Most deprived
1,E01001507,Most deprived
1,E01002244,2
1,E01021316,Most deprived
1,E01002261,3
1,E01002388,Least deprived
1,E01002808,2
1,E01015818,3
1,E01002055,2
1,E01003660,4
1,E01000888,3
1,E01000070,3
1,E01002297,Most deprived
1,E01002358,3
1,E01000113,2
1,E01000562,4
1,E01002052,2
1,E01015794,Most deprived
1,E01015815,Least deprived
1,E01000098,Most deprived
1,E01002766,Most deprived
1,E01002342,2
1,E01001690,2
1,E01001594,Most deprived
1,E01003761,Most deprived
1,E01001672,2
1,E01000038,3
1,E01001981,2
1,E01000375,3
1,E01021754,Least deprived
1,E01003673,4
1,E01000093,Most deprived
1,E01002280,Most deprived
1,E01015955,4
1,E01024654,3
1,E01002385,4
1,E01000014,Most deprived
1,E01003676,3
1,E01000071,3
1,E01003723,2
1,E01002361,3
1,E01001493,2
1,E01003697,3
1,E01000015,Most deprived
1,E01000020,2
1,E01033708,3
1,E01003704,2
1,E01003310,Most deprived
1,E01017950,4
1,E01003745,Least deprived
1,E01003153,3
1,E01002253,Least deprived
1,E01002776,Most deprived
1,E01015973,2
1,E01000394,4
1,E01003677,4
1,E01003696,4
1,E01033151,Most deprived
1,E01015509,2
1,E01033588,Most deprived
1,E01001631,Most deprived
1,E01003789,4
1,E01025224,Most deprived
1,E01002307,2
1,E01033610,4
1,E01003755,3
1,E01002179,2
1,E01003386,3
1,E01000468,3
1,E01009960,Most deprived
1,E01030869,4
1,E01000067,3
1,E01011033,2
1,E01000059,Most deprived
1,E01002767,Most deprived
1,E01000021,Most deprived
1,E01002082,Most deprived
1,E01002376,Least deprived
1,E01024732,4
1,E01002312,Most deprived
1,E01015746,3
1,E01003638,3
1,E01003744,4
1,E01003748,Least deprived
1,E01002847,2
1,E01022096,3
1,E01021810,3
1,E01002272,4
1,E01000101,Most deprived
1,E01000081,2
1,E01016903,4
1,E01018002,4
1,E01002251,2
1,E01032809,Least deprived
1,E01021777,2
1,E01002067,Most deprived
1,E01016011,2
1,E01003754,3
1,E01027225,2
1,E01000045,Most deprived
1,E01002386,Least deprived
1,E01002246,3
1,E01003773,3
1,E01000107,2
1,E01002373,3
1,E01002263,Least deprived
1,E01003721,2
1,E01016015,3
1,E01002734,Most deprived
1,E01002054,Most deprived
1,E01009016,Most deprived
1,E01023444,Least deprived
1,E01001454,Least deprived
1,E01015737,Most deprived
1,E01015884,2
1,E01000063,Most deprived
1,E01002732,Most deprived
1,E01002266,3
1,E01000082,2
1,E01003759,Least deprived
1,E01010107,Most deprived
1,E01003766,2
1,E01000410,Least deprived
1,E01026274,Least deprived
1,E01000056,Most deprived
1,E01033505,3
1,E01002743,2
1,E01003663,3
1,E01015717,2
1,E01009622,Most deprived
1,E01021824,4
1,E01024606,3
1,E01000105,Most deprived
1,E01001401,3
1,E01002325,2
1,E01003369,4
1,E01021286,Most deprived
1,E01004781,4
1,E01002756,2
1,E01000103,Most deprived
1,E01013623,2
1,E01001555,Most deprived
1,E01030628,4
1,E01000062,2
1,E01000013,Most deprived
1,E01002040,Most deprived
1,E01026589,2
1,E01015922,2
1,E01021781,Least deprived
1,E01027204,4
1,E01015801,2
1,E01002718,2
1,E01001998,3
1,E01002779,2
1,E01003769,2
1,E01002370,2
1,E01014236,Most deprived
1,E01000051,Most deprived
1,E01002298,3
1,E01002351,3
1,E01003729,Most deprived
1,E01000086,Most deprived
1,E01028979,3
1,E01032805,Most deprived
1,E01001436,2
1,E01001566,3
1,E01003640,3
1,E01027122,Least deprived
1,E01010623,Most deprived
1,E01000008,Most deprived
1,E01015926,3
1,E01002302,3
1,E01003720,2
1,E01003702,2
1,E01015775,3
1,E01017510,4
1,E01002177,4
1,E01001699,2
1,E01003665,3
1,E01032574,2
1,E01001584,Least deprived
1,E01001459,2
1,E01021787,Least deprived
1,E01002247,2
1,E01033726,Most deprived
1,E01002314,Most deprived
1,E01000110,3
1,E01021750,4
1,E01021752,4
1,E01001425,Most deprived
1,E01033086,Most deprived
1,E01003641,3
1,E01015654,Most deprived
1,E01016096,Least deprived
1,E01002344,3
1,E01011003,Most deprived
1,E01000027,Most deprived
1,E01003692,3
1,E01015950,3
1,E01002102,2
1,E01021304,Most deprived
1,E01003705,3
1,E01021744,4
1,E01003655,4
1,E01011477,2
1,E01025979,Least deprived
1,E01000048,Most deprived
1,E01003317,2
1,E01002305,3
1,E01002276,2
1,E01002330,3
1,E01003751,3
1,E01002018,2
1,E01000069,3
1,E01021765,4
1,E01002091,Most deprived
1,E01001315,3
1,E01002832,Most deprived
1,E01003678,4
1,E01014488,2
1,E01023417,Least deprived
1,E01021767,Least deprived
1,E01003647,3
1,E01000043,2
1,E01015858,Least deprived
1,E01003137,Most deprived
1,E01020296,3
1,E01001487,Most deprived
1,E01003737,3
1,E01003643,4
1,E01015942,3
1,E01021747,Least deprived
1,E01024316,4
1,E01003699,3
1,E01000032,2
1,E01002742,3
1,E01001158,2
1,E01005613,Most deprived
1,E01017631,Least deprived
1,E01012361,Least deprived
1,E01013142,Most deprived
1,E01016753,3
1,E01002384,Least deprived
1,E01021257,4
1,E01006041,2
1,E01004056,3
1,E01002300,4
1,E01000108,2
1,E01002753,2
1,E01003689,Most deprived
1,E01002804,Most deprived
1,E01013517,2
1,E01003739,2
1,E01002057,2
1,E01002036,Most deprived
1,E01003724,3
1,E01002293,3
1,E01033590,2
1,E01002079,2
1,E01000627,Most deprived
1,E01003778,4
1,E01017536,2
1,E01021805,Least deprived
1,E01001697,2
1,E01001500,3
1,E01016013,2
1,E01001466,2
1,E01003757,2
1,E01021847,2
1,E01000097,Most deprived
1,E01015948,2
1,E01002736,Most deprived
1,E01000050,Most deprived
1,E01023728,Least deprived
1,E01002304,2
1,E01003695,2
1,E01000065,Most deprived
1,E01001701,2
1,E01002075,Most deprived
1,E01002248,2
1,E01001577,Most deprived
1,E01000112,2
1,E01016385,3
1,E01021030,4
1,E01001013,Most deprived
1,E01000339,4
1,E01021594,2
1,E01002290,4
1,E01012950,4
1,E01001430,Most deprived
1,E01021800,3
1,E01032739,4
1,E01003774,4
1,E01021863,2
1,E01002332,3
1,E01002039,Most deprived
1,E01032820,4
1,E01002798,2
1,E01003700,3
1,E01024519,4
1,E01021858,2
1,E01001519,3
1,E01000061,Most deprived
1,E01002279,2
1,E01002782,Most deprived
1,E01001424,Most deprived
1,E01016812,4
1,E01023264,Least deprived
1,E01000525,Most deprived
1,E01003762,3
1,E01000865,3
1,E01014668,4
1,E01015900,Most deprived
1,E01003842,3
1,E01023315,4
1,E01021814,3
1,E01008974,3
1,E01001693,Most deprived
1,E01000084,Most deprived
1,E01024766,4
1,E01024212,3
1,E01021866,3
1,E01017499,2
1,E01016110,Most deprived
1,E01002260,3
1,E01026006,Most deprived
1,E01001410,Most deprived
1,E01006145,2
1,E01005246,Most deprived
1,E01017146,Least deprived
1,E01002310,Most deprived
1,E01021803,4
1,E01031535,4
1,E01008397,3
1,E01001860,Most deprived
1,E01000388,4
1,E01002363,3
1,E01000935,Most deprived
1,E01004713,4
1,E01007949,Most deprived
1,E01002278,Most deprived
1,E01030671,Least deprived
1,E01004563,2
1,E01002271,Least deprived
1,E01003716,2
1,E01033734,3
1,E01022139,Least deprived
1,E01014555,3
1,E01003796,4
1,E01001932,2
1,E01000033,Most deprived
1,E01001895,3
1,E01000981,3
1,E01010673,Most deprived
1,E01015731,2
1,E01002105,2
1,E01001008,Most deprived
1,E01003780,Least deprived
1,E01002256,Least deprived
1,E01033424,2
1,E01000035,2
1,E01015604,Most deprived
1,E01017528,Least deprived
1,E01021241,3
1,E01002073,Most deprived
1,E01003679,4
1,E01033367,Most deprived
1,E01001136,Most deprived
1,E01003725,2
1,E01000064,Most deprived
1,E01003703,3
1,E01002337,4
1,E01011258,2
1,E01021776,2
1,E01016069,Most deprived
1,E01002347,3
1,E01026862,3
1,E01000034,Most deprived
1,E01001711,2
1,E01000128,2
1,E01000078,Most deprived
1,E01001486,Most deprived
1,E01015791,Most deprived
1,E01000154,Most deprived
1,E01024146,Least deprived
1,E01009985,Most deprived
1,E01002326,2
1,E01002274,4
1,E01000001,Least deprived
1,E01002367,4
1,E01003680,Least deprived
1,E01004573,2
1,E01000074,Most deprived
1,E01000102,Most deprived
1,E01001633,Most deprived
1,E01013330,Most deprived
1,E01003710,4
1,E01026709,Least deprived
1,E01021802,2
1,E01023941,3
1,E01002101,2
1,E01002284,2
1,E01021826,Least deprived
1,E01003336,Most deprived
1,E01009981,Most deprived
1,E01005194,Most deprived
1,E01021449,3
1,E01022374,3
1,E01000091,Most deprived
1,E01002296,3
1,E01026092,Most deprived
1,E01001489,2
1,E01018134,Least deprived
1,E01022312,3
1,E01002346,2
1,E01021759,4
1,E01003672,2
1,E01033574,3
1,E01015993,3
