pseudo_uprn,epc,glazing,tenure,property_type
23A2BA3AA0,1,Double/triple glazed,Rented,Maisonette
D7561ADA0D,1,Double/triple glazed,Rented,House
8CA4D31A6A,1,,Rented,Flat
F8EA4BCC0C,1,Double/triple glazed,Rented,Maisonette
295713C528,1,Double/triple glazed,Owner-occupied,House
C4183B087C,1,Double/triple glazed,,
F817CAC192,1,Double/triple glazed,,
1557C80E7F,1,Double/triple glazed,,
0873BA3B37,1,Double/triple glazed,,
ED0A2528BD,1,Double/triple glazed,,Flat
1C8B43B880,1,Double/triple glazed,,
DC7D76E5BF,1,Double/triple glazed,Owner-occupied,House
84D2D07B0D,1,Double/triple glazed,Rented,House
DC7795C7D8,1,Double/triple glazed,Rented,House
92D8390513,1,Double/triple glazed,Rented,Flat
C01C69B92F,1,,,
4984390C0F,1,Double/triple glazed,,House
C9DDFD3FE1,1,Double/triple glazed,,
C3D11CC54E,1,Double/triple glazed,Rented,Flat
E2385F44B7,1,Double/triple glazed,Rented,House
BE954AD325,1,Double/triple glazed,Rented,House
7ECCA00152,1,Double/triple glazed,Rented,Flat
2BBBE91A7F,1,Double/triple glazed,Rented,Maisonette
6102F63967,1,Double/triple glazed,Rented,Flat
1E7CF14FF9,1,Double/triple glazed,Rented,Flat
B3B69E0DD1,1,,Owner-occupied,House
9CBD8F73E7,1,Double/triple glazed,,Flat
5C2CED2F2F,1,Double/triple glazed,Rented,Flat
E8E75B527B,1,Double/triple glazed,,
82256CCFDC,1,Double/triple glazed,Rented,Maisonette
82D17F2CC1,1,,Rented,House
5DDE0A5019,1,,Rented,Flat
DF00407688,1,Double/triple glazed,,Flat
05D0E1EC6F,1,Double/triple glazed,,Flat
8FD8BA2EA8,1,Double/triple glazed,Rented,House
68FACD992A,1,Double/triple glazed,Rented,House
3CF60A9FF1,1,Double/triple glazed,Owner-occupied,Maisonette
E74B56F70E,1,Double/triple glazed,Rented,House
4293E68582,1,Double/triple glazed,Rented,Flat
02F286A875,1,Double/triple glazed,,
8A55A743EE,1,,Rented,Flat
E923EE7A53,1,Double/triple glazed,Rented,House
DD3E70274D,1,Double/triple glazed,Owner-occupied,Flat
AF6B595154,1,Double/triple glazed,Owner-occupied,House
59BE9FA178,1,Double/triple glazed,Rented,Maisonette
1AEABE8B44,1,Double/triple glazed,,Flat
ABC0C68E75,1,Double/triple glazed,Rented,Flat
5A2C3E3625,1,Double/triple glazed,Owner-occupied,House
29608A1E1D,1,Double/triple glazed,,
F36F358F81,1,Double/triple glazed,Owner-occupied,Flat
70B4A8291B,1,Double/triple glazed,,
39E1C535F1,1,Double/triple glazed,Rented,Maisonette
5552EBB608,1,Double/triple glazed,Owner-occupied,House
9DB3276F54,1,Double/triple glazed,Rented,Flat
688B475436,1,Double/triple glazed,,
EFBDA418DD,1,Double/triple glazed,,
FE5E0EB61F,1,Double/triple glazed,,
BB3CF05001,1,Double/triple glazed,Rented,Maisonette
C390A7E5C0,1,Double/triple glazed,Rented,Maisonette
2D73EC6BCC,1,,,Flat
D58CD6CEBC,1,,,
1B7D4EA351,1,Double/triple glazed,Rented,Flat
8207642786,1,Double/triple glazed,Rented,House
77750126D5,1,Double/triple glazed,Rented,Maisonette
95476DB3FD,1,Double/triple glazed,,
0B2B2B54EA,1,Double/triple glazed,Rented,Flat
7868235A78,1,,Owner-occupied,House
8272063E52,1,Double/triple glazed,,
942512B0A2,1,Double/triple glazed,,Flat
9FA6BA205F,1,,Rented,Flat
8150C6541D,1,Double/triple glazed,Rented,Flat
EAF4E6130D,1,Double/triple glazed,Owner-occupied,Flat
0AB89F31D1,1,Double/triple glazed,Owner-occupied,Flat
6A66BDB59F,1,Double/triple glazed,,
AF33A2D869,1,Double/triple glazed,,
4C419388A6,1,Double/triple glazed,Owner-occupied,House
1BAD77F289,1,Double/triple glazed,,
CCEF34EFC0,1,,,
24335BC116,1,Double/triple glazed,Rented,House
0A9EF06E31,1,Double/triple glazed,,Flat
06C19218E2,1,Double/triple glazed,Rented,Flat
84A006C24C,1,Double/triple glazed,Rented,Flat
1C210E18FA,1,Double/triple glazed,Rented,Flat
4D6FA0A748,1,Double/triple glazed,,
393A630F9E,1,Double/triple glazed,Owner-occupied,House
28B352CFCF,1,Double/triple glazed,Rented,Flat
13CC094A62,1,Double/triple glazed,Owner-occupied,Maisonette
AF0A2D9ED2,1,,,
452708803D,1,Double/triple glazed,,
3D6DB41D78,1,Double/triple glazed,Rented,House
4FA78979BD,1,,Owner-occupied,Flat
00D64136FA,1,Double/triple glazed,,
632938645C,1,,,
0D48FEB10A,1,Double/triple glazed,Rented,Flat
DC784F028D,1,Double/triple glazed,,
B5A00FAB5D,1,Double/triple glazed,,Flat
B9401BE3A6,1,,Rented,Maisonette
A6509CF58A,1,Double/triple glazed,,
D880392C95,1,Double/triple glazed,Rented,Flat
FDDA5422D2,1,Double/triple glazed,Rented,Maisonette
86355F86FE,1,,Rented,House
CB5B6EF84B,1,Double/triple glazed,,
CA8ABF4723,1,Double/triple glazed,Rented,Maisonette
3C25C415DB,1,Double/triple glazed,,
B1E4F80590,1,Double/triple glazed,Rented,Maisonette
48BC93594D,1,Double/triple glazed,Rented,Maisonette
A42107F34C,1,Double/triple glazed,,Flat
38CA6193D7,1,Double/triple glazed,Rented,Flat
1327558901,1,Double/triple glazed,,
A3AC5D20D9,1,Double/triple glazed,Rented,House
7B43FE08A6,1,Double/triple glazed,Rented,House
CB0388B3E1,1,Double/triple glazed,Owner-occupied,Maisonette
01B8F491D4,1,Double/triple glazed,Owner-occupied,House
502C71F24E,1,Double/triple glazed,,
0DD2A50E48,1,Double/triple glazed,,Flat
C5E8511449,1,Double/triple glazed,Owner-occupied,House
B1B878B92C,1,Double/triple glazed,Rented,House
A01F667C16,1,Double/triple glazed,,
A35FA74FAF,1,Double/triple glazed,Rented,House
138BEB62B5,1,,Owner-occupied,Flat
1D1B196607,1,,Owner-occupied,Bungalow
2ABAF2A989,1,,Rented,House
5993E2229A,1,Double/triple glazed,,
3002F0011A,1,Double/triple glazed,,
EC49B1A94C,1,Double/triple glazed,,
01DAE90A7C,1,Double/triple glazed,,
8962B398B6,1,,Rented,House
FFDBD6F60D,1,Double/triple glazed,Owner-occupied,House
BFB75EF309,1,Double/triple glazed,,House
B05AE6EDF2,1,Double/triple glazed,Owner-occupied,House
EA2D549009,1,Double/triple glazed,Rented,House
8C3B0BB2B2,1,Double/triple glazed,,
83AB34C212,1,Double/triple glazed,Rented,House
8ED3E38A36,1,Double/triple glazed,Rented,Flat
39E0F900A5,1,Double/triple glazed,,
E507D2CA7C,1,Double/triple glazed,Rented,House
2C9A4BB922,1,Double/triple glazed,,
A54C980AD0,1,Double/triple glazed,Rented,Flat
74DB6C2342,1,Double/triple glazed,Rented,House
BD70BD8CFA,1,Double/triple glazed,,
DD27A54CF1,1,Double/triple glazed,Owner-occupied,House
C66C1A35F2,1,Double/triple glazed,Owner-occupied,House
C1755CC9D8,1,Double/triple glazed,,
4A02594964,1,Double/triple glazed,,
8045AF0D8B,1,Double/triple glazed,,
DB4A2A62D4,1,Double/triple glazed,Owner-occupied,House
AE551BCE69,1,Double/triple glazed,Owner-occupied,House
EFED84C4E6,1,Double/triple glazed,,
A986F1E2E2,1,Double/triple glazed,,Flat
C0FAA4CA5F,1,Double/triple glazed,,
5A7AA77BAC,1,Double/triple glazed,Rented,Flat
86C741F2A9,1,Double/triple glazed,Owner-occupied,House
5196BE6E0C,1,Double/triple glazed,,
2332F655ED,1,Double/triple glazed,Rented,Flat
FADF2EAE26,1,Double/triple glazed,,
3E4486B16F,1,Double/triple glazed,Rented,House
E7A7FE69B7,1,Double/triple glazed,,
C170EB8C5B,1,Double/triple glazed,Owner-occupied,House
D448FB5FA8,1,,Rented,Maisonette
FCE47EE2C1,1,Double/triple glazed,,
4040B15438,1,Double/triple glazed,,
BECB4471E0,1,Double/triple glazed,Owner-occupied,House
17FFA6CCEA,1,Double/triple glazed,,
C3AF9C8BE3,1,Double/triple glazed,,
45455F956E,1,Double/triple glazed,Rented,Flat
3B4CC99D91,1,Double/triple glazed,Owner-occupied,House
F526CDA7F5,1,Double/triple glazed,,
3080955ECA,1,Double/triple glazed,Rented,Flat
3ADF71E382,1,Double/triple glazed,,
F9832E3CB8,1,Double/triple glazed,Owner-occupied,House
94D5495178,1,Double/triple glazed,Rented,Flat
0503E71F78,1,Double/triple glazed,Rented,Flat
A97766828D,1,Double/triple glazed,Rented,Flat
2B606CC5DD,1,Double/triple glazed,,
D9EBFF7C25,1,Double/triple glazed,,
7B8CBEC86C,1,,Rented,Maisonette
A1ECB9027F,1,Double/triple glazed,Rented,Flat
EB8C54EDBA,1,Double/triple glazed,,Flat
03C8912E92,1,Double/triple glazed,,
8608AC0A3E,1,Double/triple glazed,,
1F4989D686,1,Double/triple glazed,Rented,Flat
9E4A9D6571,1,Double/triple glazed,Rented,Maisonette
76306B8353,1,Double/triple glazed,Rented,House
4B71943BAA,1,Double/triple glazed,,
7A8D9B35D3,1,Double/triple glazed,,
235AEE1752,1,Double/triple glazed,,
37DC9C8265,1,Double/triple glazed,,
F9E88CDD74,1,Double/triple glazed,Owner-occupied,House
E20404BD82,1,Double/triple glazed,Rented,Flat
BA212C5868,1,Double/triple glazed,,
0C9E8AB619,1,Double/triple glazed,,
5408902078,1,Double/triple glazed,Rented,House
B7332A7F55,1,,Rented,House
5B8D3D57F9,1,Double/triple glazed,Rented,Flat
A2314252DC,1,Double/triple glazed,Rented,Flat
C178217DF4,1,Double/triple glazed,Rented,Flat
110B073EF2,1,Double/triple glazed,Rented,House
D52FA84C55,1,Double/triple glazed,Owner-occupied,House
9ADB9173A7,1,Double/triple glazed,,
965AF11428,1,Double/triple glazed,Rented,Flat
043D14CFBA,1,Double/triple glazed,Rented,Flat
E78EA648B5,1,Double/triple glazed,Rented,Flat
84221E46F2,1,Double/triple glazed,,
0D049E84C6,1,Double/triple glazed,Rented,House
0307CA2705,1,Double/triple glazed,Rented,Flat
78B77ADC6D,1,Double/triple glazed,Owner-occupied,House
9264578D1B,1,Double/triple glazed,Rented,Flat
F13230E56A,1,Double/triple glazed,Rented,House
2AD66C6E13,1,,Owner-occupied,Maisonette
D2292003BD,1,Double/triple glazed,,
250E924F4E,1,Double/triple glazed,Rented,Flat
225385D12D,1,Double/triple glazed,Owner-occupied,House
3400FA6DB0,1,,,
20FB643FCE,1,Double/triple glazed,Rented,Flat
0DA077B9A8,1,Double/triple glazed,Rented,Maisonette
625A10D053,1,Double/triple glazed,Rented,House
AA40E19944,1,Double/triple glazed,Rented,House
E3FF0C0A84,1,Double/triple glazed,Rented,House
720EB7F2E4,1,Double/triple glazed,Owner-occupied,House
6AB2C5D14B,1,Double/triple glazed,Owner-occupied,House
764DEE37D8,1,Double/triple glazed,Rented,Flat
BC039C4088,1,Double/triple glazed,,
CE8D93E5A4,1,Double/triple glazed,,
B137CC23A9,1,Double/triple glazed,Rented,Flat
14289F0FE3,1,Double/triple glazed,,
FF8CA36379,1,Double/triple glazed,Rented,Flat
6A64655D68,1,Double/triple glazed,Rented,House
7C8E4DC436,1,Double/triple glazed,,
7D21B68D06,1,Double/triple glazed,,
90496B072A,1,Double/triple glazed,Rented,Flat
8141EE83F2,1,Double/triple glazed,,
05F954B1C2,1,Double/triple glazed,Rented,Flat
0BAA85075A,1,Double/triple glazed,,Flat
73BA1781E2,1,Double/triple glazed,,
641ABC3DC1,1,Double/triple glazed,,
309A327473,1,,,
1C8708A452,1,Double/triple glazed,Rented,House
2DE3B92C70,1,Double/triple glazed,,
A9F1AC3D79,1,,,
D20173EE74,1,Double/triple glazed,Rented,House
8391A30986,1,Double/triple glazed,Rented,House
9AEDBAD172,1,Double/triple glazed,Owner-occupied,House
E480972CCC,1,Double/triple glazed,Rented,House
591162DAB5,1,Double/triple glazed,Rented,Maisonette
26B738E95D,1,Double/triple glazed,,
9F81179C56,1,Double/triple glazed,,
A341A678A0,1,Double/triple glazed,,
6EBAAF176B,1,Double/triple glazed,,
F11FEB482B,1,Double/triple glazed,Rented,House
8180FD0729,1,Double/triple glazed,Rented,Flat
765BCD99B4,1,Double/triple glazed,Owner-occupied,House
0150734924,1,Double/triple glazed,,Flat
C75533767B,1,Double/triple glazed,Rented,House
5AC8362130,1,Double/triple glazed,Rented,House
ED1E70A498,1,Double/triple glazed,Rented,Flat
9370588985,1,Double/triple glazed,,Flat
BFF4EEB4BC,1,Double/triple glazed,Rented,House
CF30F9D1DB,1,Double/triple glazed,Rented,Flat
805C814F19,1,,,
EC7E6635D3,1,Double/triple glazed,Rented,House
FFF05A8A8A,1,Double/triple glazed,Rented,Flat
6FC7256E5F,1,Double/triple glazed,Owner-occupied,Flat
69911EC8BF,1,,,
8E83994FFA,1,Double/triple glazed,Rented,House
23B63FB15E,1,Double/triple glazed,Rented,House
913D9FA1D8,1,Double/triple glazed,Rented,Maisonette
CB61CB46D6,1,Double/triple glazed,Rented,Flat
53D3F0091E,1,Double/triple glazed,Rented,House
84210BEFB0,1,Double/triple glazed,Rented,Maisonette
65D8A26C6A,1,Double/triple glazed,,
DBC3B6C49F,1,Double/triple glazed,Owner-occupied,Flat
334C35B6FA,1,Double/triple glazed,Owner-occupied,House
680ED6DC83,1,Double/triple glazed,Owner-occupied,House
F6ECC67310,1,Double/triple glazed,,Flat
94AAF021E3,1,Double/triple glazed,Owner-occupied,House
1C6C53D662,1,Double/triple glazed,Owner-occupied,House
D156D86760,1,Double/triple glazed,Owner-occupied,Flat
4854E143A3,1,Double/triple glazed,,Flat
36DD39AFFB,1,Double/triple glazed,,Flat
7C9A017B4E,1,Double/triple glazed,Owner-occupied,House
88B1ED39F3,1,Double/triple glazed,Owner-occupied,Flat
F2F1F07A03,1,Double/triple glazed,Rented,Flat
457AD94768,1,Double/triple glazed,Owner-occupied,House
520E1594D0,1,Double/triple glazed,Rented,Flat
E4D86768B2,1,Single glazed,,Maisonette
07C201C518,1,Double/triple glazed,,
5278E97A0D,1,Double/triple glazed,Rented,Flat
63337FCE79,1,Double/triple glazed,Rented,Flat
57267F86A8,1,Double/triple glazed,Rented,Flat
6BFA6442E9,1,Double/triple glazed,Rented,House
7110B11B6B,1,Double/triple glazed,,
AA4D9F6FFD,1,Double/triple glazed,Rented,House
6E85B74487,1,Double/triple glazed,Rented,Flat
FEAAF58932,1,Double/triple glazed,Owner-occupied,House
3B6058761C,1,Double/triple glazed,Rented,House
81EE1AFFC8,1,Double/triple glazed,Rented,Flat
BE4671DF34,1,Double/triple glazed,Rented,House
FB011A9BCF,1,Double/triple glazed,Owner-occupied,Maisonette
E292C9D8DE,1,Double/triple glazed,Rented,Maisonette
39A56FCF0F,1,Double/triple glazed,,
AD44F60204,1,Double/triple glazed,Owner-occupied,House
ACD3E094DB,1,Double/triple glazed,,
DFBA561575,1,Double/triple glazed,,
2602043679,1,Double/triple glazed,,
D05DF4CFEC,1,Double/triple glazed,,
E4F6C4F2B6,1,,Owner-occupied,House
66B572CA8B,1,Double/triple glazed,,
0FEC5FA5F9,1,,Rented,House
9FB2AFEAC1,1,Double/triple glazed,Rented,House
98DDEAA19D,1,,,
2FB873818A,1,Double/triple glazed,,
7A89754D20,1,Double/triple glazed,,
28ECCFA8B1,1,Double/triple glazed,Rented,House
7E5959AE11,1,Double/triple glazed,Rented,Flat
8B4E9B6964,1,Double/triple glazed,Rented,Flat
71BCC0E420,1,Double/triple glazed,Owner-occupied,House
EB4866F666,1,,Rented,Flat
0EB2D55C2E,1,Double/triple glazed,Owner-occupied,House
81D65EC9F1,1,Double/triple glazed,,
A1D5D79950,1,Double/triple glazed,Rented,Maisonette
9B81765EDE,1,Double/triple glazed,,
387A354143,1,Double/triple glazed,Rented,House
835807DDC5,1,Double/triple glazed,Rented,Maisonette
A70E2A29DD,1,Double/triple glazed,,
44BFF924AB,1,Double/triple glazed,Rented,Flat
AF3BF47422,1,,Rented,House
6CF58866F5,1,Double/triple glazed,,
C93AAD1035,1,Double/triple glazed,Rented,House
C758261722,1,Double/triple glazed,,
99EFC97492,1,Double/triple glazed,Rented,Flat
1FF15F58F8,1,Double/triple glazed,,House
2F011266C2,1,Double/triple glazed,Rented,Flat
F989991B31,1,,Rented,House
284AD7B04D,1,,,
58FAF2048F,1,Double/triple glazed,,
BEDBA97AB0,1,Double/triple glazed,Rented,House
2BDAF0AA04,1,Double/triple glazed,,
747BCE13F5,1,Double/triple glazed,,
1CAB5EC783,1,Double/triple glazed,Rented,Flat
B14E320508,1,Double/triple glazed,Rented,Maisonette
762CCF7F00,1,Double/triple glazed,Owner-occupied,House
D186AB0D67,1,Double/triple glazed,Rented,Flat
F65EB6DF9D,1,Double/triple glazed,Rented,Flat
3E14C60010,1,Double/triple glazed,,
B651338972,1,,Rented,Flat
60FDAAE386,1,Double/triple glazed,Rented,Flat
0AA85E5E79,1,Double/triple glazed,Owner-occupied,House
5B01EABB32,1,Double/triple glazed,Rented,House
C1E0350109,1,Double/triple glazed,Rented,Flat
2F9D9AE532,1,Double/triple glazed,,
0AEB2A5E96,1,,,
6FDCD3303C,1,Double/triple glazed,Owner-occupied,Flat
5C2568815C,1,Double/triple glazed,Owner-occupied,Flat
01274C1B5B,1,Double/triple glazed,,Flat
8AF631316F,1,,,
4D3484BBE0,1,Double/triple glazed,Owner-occupied,House
D07A975046,1,Double/triple glazed,Owner-occupied,Flat
DA33782052,1,,,Flat
8D86F607AF,1,Double/triple glazed,Rented,Flat
5F419D4CC6,1,Double/triple glazed,Owner-occupied,Flat
DE6FE313D4,1,Double/triple glazed,Owner-occupied,House
469AA83662,1,Double/triple glazed,Owner-occupied,Maisonette
B6440A151C,1,,,Flat
1985DCFDA6,1,,,Flat
8DAE912C29,1,Double/triple glazed,,
DF8258BD28,1,Double/triple glazed,,Flat
FFBEDAD052,1,Double/triple glazed,Owner-occupied,Flat
1DD29DB740,1,Double/triple glazed,Rented,House
7AD4B4F5A1,1,Double/triple glazed,Rented,Flat
C872D23A80,1,Double/triple glazed,,
7AEB04E668,1,Double/triple glazed,,
FCF3A11081,1,Double/triple glazed,Rented,Flat
94B57F797B,1,Double/triple glazed,,Flat
D2D45F0D50,1,Double/triple glazed,Rented,Flat
0B4C468141,1,Double/triple glazed,Rented,Flat
DB00FF739A,1,Double/triple glazed,Rented,Flat
42BE393BD0,1,Double/triple glazed,Rented,House
951A347FD1,1,Double/triple glazed,,Flat
FAB72CE182,1,Double/triple glazed,Rented,Flat
866811258F,1,Double/triple glazed,Owner-occupied,House
1D63EB1FAA,1,Double/triple glazed,Rented,House
5EA65E41C6,1,Double/triple glazed,Rented,House
20E2DEE96E,1,Double/triple glazed,,
6AE803F473,1,Double/triple glazed,Rented,House
0562BB6783,1,Double/triple glazed,,
7E61764C5B,1,,Rented,Flat
92392654AE,1,Double/triple glazed,,
D5FE828D56,1,Double/triple glazed,Rented,Flat
98E810F841,1,Double/triple glazed,Rented,Flat
33355B75B7,1,Double/triple glazed,,
2B69132F91,1,Double/triple glazed,,
97283DD541,1,,,Flat
BE8AD95A95,1,Double/triple glazed,Rented,Maisonette
6A7BA95A2C,1,Double/triple glazed,Rented,Flat
116227DF3A,1,Double/triple glazed,,
B068465BEF,1,Double/triple glazed,Rented,Flat
CA65923615,1,Double/triple glazed,Rented,House
4DD2F35962,1,Double/triple glazed,Rented,Maisonette
E0F9B070ED,1,Double/triple glazed,,
A7AAE11F91,1,Double/triple glazed,Owner-occupied,House
9672BF2FC7,1,Double/triple glazed,Owner-occupied,House
6BB536C1CE,1,Double/triple glazed,,
3C91087CFC,1,Double/triple glazed,Owner-occupied,House
C53EBB0C9B,1,Double/triple glazed,Owner-occupied,Flat
71CBFC735D,1,Double/triple glazed,Rented,Flat
253A9ED0F5,1,Double/triple glazed,,
C45FEEC13D,1,Double/triple glazed,Rented,Flat
7E1C6295F9,1,Double/triple glazed,Rented,Flat
C91A6C60D9,1,,Rented,House
1D0A6BF573,1,Double/triple glazed,,
C0F3034752,1,Double/triple glazed,Rented,Flat
213BDC703B,1,Double/triple glazed,Rented,Flat
68144FCDDB,1,,Rented,House
A7B9A93655,1,Double/triple glazed,Owner-occupied,House
EC3FAB050F,1,Double/triple glazed,,
FCF4EC2B87,1,Double/triple glazed,Owner-occupied,House
C4A174B9B3,1,Double/triple glazed,,
D21F543667,1,Double/triple glazed,,
85F964D45C,1,,Rented,Flat
BE31ECE01F,1,Double/triple glazed,,
185428FED3,1,Double/triple glazed,Owner-occupied,Maisonette
36C6C2ED22,1,Double/triple glazed,Rented,House
5DCED1A603,1,,Rented,Flat
CD6CF5A51D,1,Double/triple glazed,Owner-occupied,Flat
493FD96E54,1,Double/triple glazed,Rented,Flat
6807941F7E,1,Double/triple glazed,,
65846225F1,1,Double/triple glazed,Rented,Flat
05A0833A3B,1,Double/triple glazed,Rented,Flat
94108042A4,1,Double/triple glazed,,
B19A4BBEEF,1,Double/triple glazed,Owner-occupied,House
F6D355662D,1,Double/triple glazed,,
706BC21357,1,Double/triple glazed,,
483969A46A,1,Double/triple glazed,Rented,Maisonette
E534666EB6,1,Double/triple glazed,Rented,House
3BDE729C58,1,Double/triple glazed,Rented,Flat
DA846D0B12,1,Double/triple glazed,,Flat
629AB8AA7E,1,Double/triple glazed,,
8DABF09B40,1,Double/triple glazed,Rented,Flat
D0A9765C42,1,Double/triple glazed,Rented,Flat
9E3C338349,1,Double/triple glazed,,
C195D1B47E,1,Double/triple glazed,Rented,Flat
E7D8D112A9,1,Double/triple glazed,Rented,Flat
7FB9AB9EE0,1,Double/triple glazed,Rented,Maisonette
6B2C738FA0,1,Double/triple glazed,Owner-occupied,House
5D876A98FC,1,Double/triple glazed,,
E352B51475,1,,,
BE699297C6,1,Double/triple glazed,Rented,House
EABE7AB5E9,1,Double/triple glazed,,Flat
413F4FCCE1,1,Double/triple glazed,,
CC32B426DE,1,Double/triple glazed,,Flat
7434279F24,1,Double/triple glazed,,
601BF8ECC1,1,Double/triple glazed,Rented,Flat
5EBADA6996,1,,Rented,Flat
A80BAF03F3,1,Double/triple glazed,Rented,Flat
D11EA054E3,1,Double/triple glazed,Rented,Flat
EC2E02CA07,1,Double/triple glazed,Rented,Flat
5291B1CCAF,1,Double/triple glazed,Rented,Maisonette
40AE2EF7CF,1,Double/triple glazed,Rented,Flat
0EF2A2CC01,1,Double/triple glazed,Rented,Flat
59AA45F24E,1,Double/triple glazed,Rented,Flat
8941DFABA1,1,Double/triple glazed,Rented,Maisonette
158FEC1B28,1,Double/triple glazed,Owner-occupied,House
F8A2DC3663,1,Double/triple glazed,Rented,Flat
830F71D6BB,1,,,
3CD1B73B8F,1,Double/triple glazed,Rented,House
6EFAB2C17A,1,Double/triple glazed,,
086B29BE26,1,Double/triple glazed,Rented,Flat
8B3D01DB07,1,Double/triple glazed,Rented,House
F52B79B324,1,Double/triple glazed,,
A703A8493F,1,Double/triple glazed,Rented,Maisonette
D3A2CA883C,1,,Rented,House
B7162B35F3,1,Double/triple glazed,,
8EBA2B9DAC,1,Double/triple glazed,Rented,Flat
8ECA2852E9,1,Double/triple glazed,Rented,Flat
DD655B09CC,1,Double/triple glazed,Owner-occupied,House
4751A4E540,1,,Rented,Maisonette
F259B7E1B8,1,Double/triple glazed,Owner-occupied,Flat
41CE1F716B,1,Double/triple glazed,Rented,Flat
0DEF1684DF,1,Double/triple glazed,Owner-occupied,House
DDBE049756,1,Double/triple glazed,,Flat
71BF2F7419,1,Double/triple glazed,,
57E173B12C,1,Double/triple glazed,,
0FFB71E0BC,1,,,
2B4C22F830,1,Double/triple glazed,Rented,Flat
5A7D1BC38A,1,Double/triple glazed,,
04F84915A3,1,Double/triple glazed,,
